t,FR,FL,BR,BL,n_FR,n_FL,n_BR,n_BL,t_FL_HAA,t_FL_HFE,t_FL_KFE,t_FR_HAA,t_FR_HFE,t_FR_KFE,t_HL_HAA,t_HL_HFE,t_HL_KFE,t_HR_HAA,t_HR_HFE,t_HR_KFE,tref_FL_HAA,tref_FL_HFE,tref_FL_KFE,tref_FR_HAA,tref_FR_HFE,tref_FR_KFE,tref_HL_HAA,tref_HL_HFE,tref_HL_KFE,tref_HR_HAA,tref_HR_HFE,tref_HR_KFE,x_FR,y_FR,z_FR,x_FL,y_FL,z_FL,x_HR,y_HR,z_HR,x_HL,y_HL,z_HL
0.002022266387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.850344672602511,-2.096812854211247,3.0,1.8503963832712784,-2.096843839671577,-3.0,-1.850371615524891,2.096812854211247,3.0,-1.8503694403488982,2.096843839671577,-0.05191555451992359,0.21830956943844776,-0.09559493801286403,0.05827667478405568,0.21836128010721514,-0.09562592347319417,-0.05191796880052958,-0.21833651236082796,0.09559493801286403,0.05827426050344969,-0.21833433718483494,0.09562592347319417,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.007925033569335938,-0.33638469307274427,-0.34916034307470434,-0.33648695766153247,-0.34905524413095773,3.039865661651722,0.34916034307470434,11.0610166951608,10.64080791338668,-2.0986676371862543,0.6836606679917809,1.3802192341391017,2.1043784293866667,0.6837032724270112,1.3802498254587694,-2.0986309041413707,-0.6836776164995374,-1.3802468781842154,2.1044155168646315,-0.683686847017674,-1.3802210125938315,-0.009691594620710647,0.1723914638264495,-0.06832690137118147,0.01556728851700103,0.17246161207295152,-0.06837921988276234,-0.009693366641100116,-0.1724190806157652,0.068326900390039,0.015565516369959889,-0.1724339958331291,0.06837922135372486,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.012480735778808594,-0.21312099468633988,-0.22129852575976156,-0.21305768690571059,-0.22136351527900683,6.857768430178279,6.526320752362185,2.1204902432379074,0.22136351527900683,-1.4162804848081147,1.126203948670305,-0.6175090713900834,1.420662498940435,1.1262775269546066,-0.6176779901172637,-1.416265782528275,-1.126213966227209,0.617490631783508,1.4206773212195094,-1.1262677794491882,0.6176968343818968,0.022674043564088364,0.14384255011541972,-0.05197932250000387,-0.017136941547010107,0.14390070145593717,-0.052015748731577424,0.022672501372958422,-0.14387060037023652,0.051979322381109375,-0.01713848387677906,-0.14387265201277394,0.05201574951379173,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.02023148536682129,-0.04913900502241868,-0.054043744944060355,-0.04917435532175762,-0.054007350432409826,1.4450760555306377,0.054043744944060355,3.5828864288847853,3.2790500500137747,-0.905302270145595,0.7292824818273864,0.4565757259228059,0.9088227834740638,0.7293209617659107,0.45647837093839855,-0.9052735008229834,-0.7292938144888347,-0.4565819924347081,0.9088517905764087,-0.7293098315196911,-0.4564720199025544,0.04494636531793097,0.12620766715913254,-0.04208999507851312,-0.039646660444453356,0.12625676365731903,-0.042114714826103246,0.04494507381786945,-0.12623596429443829,0.0420899995735691,-0.03964795227995121,-0.12622846711973043,0.04211471077082558,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.025607585906982422,-0.007048874902955589,-0.01008275472169912,-0.007031489947949134,-0.010100576225862929,2.2292550764289887,2.031177979758369,0.9194473639040036,0.010100576225862929,-0.5238565151473095,0.8278197005920875,-0.14096921751973412,0.5266557583136489,0.8278591986120213,-0.14111956776925513,-0.5238329546316016,-0.8278253933084365,0.14095741507848814,0.5266794900270014,-0.8278537556067613,0.14113169218945265,0.05966820101770656,0.11504840980635307,-0.035761410293068105,-0.05455749208924813,0.11509063191359345,-0.03577744502477095,0.0596671421318145,-0.11507686295337188,0.03576141734942327,-0.05455855154925625,-0.11506217938526757,0.035777438471473424,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.03297781944274902,0.0,0.0,0.0,0.0,0.5523096935336405,0.0,1.0484406570759566,0.8912955225455181,-0.2386088840913539,0.673610549701226,0.19578323627666103,0.24109709799260648,0.6736259943956263,0.19568966065036175,-0.23857957877308492,-0.6736176014061979,-0.19578547001917734,0.24112661507018965,-0.6736190230448921,-0.1956876169734826,0.06934577157227982,0.1080423403743535,-0.03183608425051957,-0.06436186544536802,0.10807936074546518,-0.031845675456098725,0.0693449122613349,-0.10807089675954941,0.031836092920712114,-0.06436272540102181,-0.1080508048934622,0.03184566725899871,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.04355335235595703,0.0,0.0,0.0,0.0,0.8231777557121827,0.7812647679554416,0.25916937214323654,0.0,-0.027094592604546122,0.6726204159274065,0.02119179091926377,0.029293028523986006,0.6726231020487378,0.02112524340993569,-0.027065807221596988,-0.6726248113621931,-0.021197407375861742,0.029322005891095987,-0.6726188464940492,-0.021119513973468576,0.07555758583163442,0.10355262548696614,-0.029299314846887685,-0.07066543095266019,0.10358572369439305,-0.029304118679905365,0.07555689079011313,-0.10358125833155807,0.029299325182504988,-0.07066612676564576,-0.10355709134136812,0.029304108842328022,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.04875540733337402,0.0,0.0,0.0,0.0,0.05538607481430729,0.0,0.08469829134888532,0.06430856135927995,0.12924905814183896,0.5966462643558501,0.12853668236232071,-0.1271229314303412,0.5966335854832169,0.12852006124788276,0.12928042633419484,-0.5966512436280647,-0.12853780660565825,-0.12709136019588405,-0.5966286092251872,-0.1285191732537161,0.07953057199215047,0.10068354747111165,-0.02770036570109737,-0.07469843480167716,0.10071372389824222,-0.02770163903407182,0.07953000771938165,-0.10071223794698933,0.027700376752828465,-0.07469899988195612,-0.10068503385600981,0.027701628500105716,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.05638694763183594,0.0,0.0,0.0,0.0,0.4762821106266275,0.48789067442471545,0.0,0.10707556526405093,0.24296664241347637,0.5687198984527023,0.07885474304762781,-0.24091885612232886,0.5686935651958663,0.07889107463052429,0.24299841819302484,-0.5687238869556253,-0.0788570238117717,-0.24088688732772356,-0.568689603873062,-0.07888883177773831,0.08202120524075444,0.09881456325486812,-0.02666225866634413,-0.07723032032872149,0.09884258002079138,-0.026660943375562424,0.08202074424906594,-0.09884329994698032,0.026662270554089904,-0.07723078218219293,-0.098813843702475,0.026660932022817718,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
0.06024622917175293,0.0,0.0,0.0,0.0,0.2433977529371796,0.32730113272236805,0.0,0.21920414552301448,0.3244922357883966,0.5195301622262894,0.11278963171452906,-0.32243261949548035,0.5194943668081666,0.11287284483219624,0.32452513316133313,-0.5195343650586081,-0.11279015201637714,-0.3223995319804678,-0.5194900993279896,-0.11287255002073492,0.08356932810843831,0.09759259516521664,-0.026001241469770214,-0.0788050362039693,0.0976190508853563,-0.025998060096531984,0.08356894772279526,-0.09762136863982937,0.026001253686538012,-0.07880541747126678,-0.0975902777287822,0.0259980484397976,0.19,-0.147,0.0,0.19,0.147,0.0,-0.19,-0.147,0.0,-0.19,0.147,0.0
